ai_use_category,count,mean,median,std
"No, and I don't plan to",3553,7.13312693498452,8.0,2.116539261595735
"No, but I plan to soon",1114,7.124775583482944,8.0,2.0531255496967282
"Yes, I use AI tools monthly or infrequently",3105,7.109822866344605,7.0,2.0187228025183073
"Yes, I use AI tools weekly",4243,7.147537119962291,7.0,1.8811731171721626
"Yes, I use AI tools daily",12303,7.296919450540519,8.0,1.9520831480929293
